epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,178.776,0.80455,0.60595,1.03589,0,0,0,0,0,0,0,0.000288718,0.000288718,0.000288718
35,184.236,0.80242,0.60903,1.04241,0,0,0,0,0,0,0,0.000272224,0.000272224,0.000272224
36,189.537,0.79813,0.58009,1.04188,0,0,0,0,0,0,0,0.000255731,0.000255731,0.000255731
37,194.671,0.77975,0.58173,1.02743,0,0,0,0,0,0,0,0.000239238,0.000239238,0.000239238
38,200.166,0.81779,0.60584,1.0549,0,0,0,0,0,0,0,0.000222744,0.000222744,0.000222744
39,205.072,0.79412,0.58339,1.04823,0,0,0,0,0,0,0,0.000206251,0.000206251,0.000206251
40,209.965,0.79446,0.58274,1.03612,0,0,0,0,0,0,0,0.000189757,0.000189757,0.000189757
41,223.278,0.78201,0.61705,1.00845,0,0,0,0,0,0,0,0.000173264,0.000173264,0.000173264
42,228.849,0.76721,0.59421,1.0097,0,0,0,0,0,0,0,0.000156771,0.000156771,0.000156771
43,233.938,0.77924,0.60321,1.00561,0,0,0,0,0,0,0,0.000140277,0.000140277,0.000140277
44,238.426,0.76989,0.57287,0.99731,0,0,0,0,0,0,0,0.000123784,0.000123784,0.000123784
45,242.721,0.76362,0.54861,0.99708,0,0,0,0,0,0,0,0.00010729,0.00010729,0.00010729
46,246.476,0.75911,0.55017,0.99382,0,0,0,0,0,0,0,9.0797e-05,9.0797e-05,9.0797e-05
47,250.706,0.74584,0.55107,1.00525,0,0,0,0,0,0,0,7.43036e-05,7.43036e-05,7.43036e-05
48,255.401,0.75158,0.56018,0.99411,0,0,0,0,0,0,0,5.78102e-05,5.78102e-05,5.78102e-05
49,260.11,0.75439,0.55042,1.0086,0,0,0,0,0,0,0,4.13168e-05,4.13168e-05,4.13168e-05
50,267.008,0.76075,0.54903,0.98709,0.98096,0.98889,0.98717,0.79869,0.72381,0.48567,0.95297,2.48234e-05,2.48234e-05,2.48234e-05
